name,shortname,length,lat,lon
Tombstone Showing A Portal Being Captured ,Tombstone Showing …,19,52.529548,13.422544
Grabstätte Familie Schultze und Kramer,Grab. Fam. Schultze …,21,52.530283,13.42343
Grabstein Hans-Joachim Wilhelm,Grab. H-J Wilhelm,17,52.528859,13.423083
Ruhestätte Familie Dellscha,Ruhe. Fam. Dellscha,19,52.529625,13.421149
Hängematte Im Leisepark,Hängematte Im …,15,52.530028,13.421216
Stolperstein Mendelsohn,Stolper. Mendelsohn,19,52.530407,13.423912
Grabstein Ottokar Dohms,Grab. Ottokar Dohms,19,52.53035,13.422754
Grabstätte Ernst Lichtenberg,Grab. E. Lichtenberg,20,52.530127,13.421963
Grabstätte Christian Semler,Grab. C. Semler,15,52.529449,13.423783
Klettergerüst - Käfig,Klettergerüst - Käfig,21,52.530652,13.421519
Grabstätte Familie Fritz Jahn,Grab. Fam. Fritz Jahn,21,52.529047,13.421609
Grabstätte Familie Breithaupt,Grab. Fam. Breithaupt,21,52.529821,13.42348
Eiserner Grabschmuck,Eiserner Grabschmuck,20,52.529429,13.421475
Grabstätte Familie Tiedemamn,Grab. Fam. Tiedemamn,20,52.530586,13.422061
Pantheon In The Wood,Pantheon In The Wood,20,52.529015,13.421268
Grabstätte Familie Blaurock,Grab. Fam. Blaurock,19,52.529883,13.421805
Grabstätte Familie Albrecht,Grab. Fam. Albrecht,19,52.528766,13.423357
Grabstätte Familie Plintsch,Grab. Fam. Plintsch,19,52.529019,13.421261
Iron-Flower-Circle,Iron-Flower-Circle,18,52.530665,13.423316
Grabstätte Familie Kloecke,Grab. Fam. Kloecke,18,52.530544,13.422782
Grabstätte Familie Lossius,Grab. Fam. Lossius,18,52.530398,13.423165
Grabstätte Familie Heider,Grab. Fam. Heider,17,52.529194,13.421154
Grabstätte Familie Bercht,Grab. Fam. Bercht,17,52.530193,13.423834
Grabstätte Familie Heller,Grab. Fam. Heller,17,52.529467,13.421883
Grabstätte Familie Zinler,Grab. Fam. Zinler,17,52.529742,13.421508
Zugemauerte Gruft,Zugemauerte Gruft,17,52.530404,13.421965
Bärtiger Wächter,Bärtiger Wächter,16,52.531385,13.421156
Grabstätte Familie Glick,Grab. Fam. Glick,16,52.529275,13.423589
Verlassene Gruft,Verlassene Gruft,16,52.530004,13.423681
Grabstätte Familie Groth,Grab. Fam. Groth,16,52.528853,13.423789
Rabbit Graffiti,Rabbit Graffiti,15,52.531121,13.421349
Grabstätte Familie Ecke,Grab. Fam. Ecke,15,52.5302,13.423057
Grabstätte Familie Ende,Grab. Fam. Ende,15,52.529261,13.421928
Goldener Engel,Goldener Engel,14,52.529368,13.423136
Chat for Love,Chat for Love,13,52.531176,13.42171
Familie Heinrich,Fam. Heinrich,13,52.5308,13.421273
Holzmikado,Holzmikado,10,52.531019,13.420985
Mausoleum,Mausoleum,9,52.529806,13.422473
Pumpe 44,Pumpe 44,8,52.530804,13.422742
Memorial,Memorial,8,52.529379,13.421019
Nautilus,Nautilus,8,52.529053,13.422372
Relief,Relief,6,52.529664,13.422246
Poem,Poem,4,52.530728,13.422286
